Timestamp,Object,Confidence
2026-08-13 17:50:07.527926,car,0.67
2026-08-13 17:50:07.527926,car,0.64
2026-08-13 17:50:07.527926,car,0.61
2026-08-13 17:50:07.527926,car,0.58
2026-08-13 17:50:07.528931,car,0.52
2026-08-13 17:50:07.528931,bus,0.46
2026-08-13 17:50:07.528931,bus,0.45
2026-08-13 17:50:07.528931,car,0.44
2026-08-13 17:50:07.528931,car,0.43
2026-08-13 17:50:07.528931,car,0.43
2026-08-13 17:50:07.528931,car,0.4
2026-08-13 17:50:07.528931,bus,0.39
2026-08-13 17:50:07.528931,car,0.38
2026-08-13 17:50:07.528931,car,0.38
2026-08-13 17:50:07.528931,truck,0.32
2026-08-13 17:50:07.528931,truck,0.3
2026-08-13 17:50:07.528931,car,0.28
2026-08-13 17:50:07.528931,car,0.28
2026-08-13 17:50:07.528931,car,0.28
2026-08-13 17:50:07.528931,bus,0.25
2026-08-13 17:50:07.644986,car,0.74
2026-08-13 17:50:07.644986,car,0.72
2026-08-13 17:50:07.644986,car,0.71
2026-08-13 17:50:07.644986,car,0.65
2026-08-13 17:50:07.644986,car,0.65
2026-08-13 17:50:07.644986,car,0.63
2026-08-13 17:50:07.644986,car,0.59
2026-08-13 17:50:07.644986,car,0.54
2026-08-13 17:50:07.647076,bus,0.54
2026-08-13 17:50:07.647076,bus,0.52
2026-08-13 17:50:07.647076,car,0.44
2026-08-13 17:50:07.647076,car,0.42
2026-08-13 17:50:07.647076,car,0.41
2026-08-13 17:50:07.647076,car,0.39
2026-08-13 17:50:07.647076,car,0.38
2026-08-13 17:50:07.647076,car,0.37
2026-08-13 17:50:07.647076,car,0.33
2026-08-13 17:50:07.647076,car,0.32
2026-08-13 17:50:07.647076,car,0.32
2026-08-13 17:50:07.648582,truck,0.29
2026-08-13 17:50:07.648582,bus,0.28
2026-08-13 17:50:07.763818,car,0.75
2026-08-13 17:50:07.763818,car,0.71
2026-08-13 17:50:07.763818,car,0.68
2026-08-13 17:50:07.763818,bus,0.67
2026-08-13 17:50:07.763818,car,0.67
2026-08-13 17:50:07.765823,car,0.67
2026-08-13 17:50:07.765823,car,0.67
2026-08-13 17:50:07.765823,car,0.58
2026-08-13 17:50:07.765823,car,0.55
2026-08-13 17:50:07.765823,bus,0.52
2026-08-13 17:50:07.765823,car,0.46
2026-08-13 17:50:07.765823,car,0.44
2026-08-13 17:50:07.765823,car,0.42
2026-08-13 17:50:07.765823,car,0.38
2026-08-13 17:50:07.765823,truck,0.37
2026-08-13 17:50:07.765823,car,0.35
2026-08-13 17:50:07.765823,car,0.35
2026-08-13 17:50:07.765823,car,0.32
2026-08-13 17:50:07.765823,car,0.31
2026-08-13 17:50:07.880949,car,0.76
2026-08-13 17:50:07.880949,car,0.73
2026-08-13 17:50:07.880949,bus,0.72
2026-08-13 17:50:07.880949,car,0.7
2026-08-13 17:50:07.880949,car,0.69
2026-08-13 17:50:07.880949,car,0.62
2026-08-13 17:50:07.880949,car,0.58
2026-08-13 17:50:07.880949,car,0.52
2026-08-13 17:50:07.880949,bus,0.5
2026-08-13 17:50:07.880949,car,0.48
2026-08-13 17:50:07.880949,car,0.48
2026-08-13 17:50:07.880949,car,0.47
2026-08-13 17:50:07.880949,car,0.45
2026-08-13 17:50:07.880949,car,0.41
2026-08-13 17:50:07.880949,car,0.4
2026-08-13 17:50:07.880949,car,0.37
2026-08-13 17:50:07.880949,car,0.35
2026-08-13 17:50:07.880949,truck,0.31
2026-08-13 17:50:07.880949,car,0.27
2026-08-13 17:50:07.880949,bus,0.27
2026-08-13 17:50:07.882954,car,0.25
2026-08-13 17:50:08.008900,car,0.72
2026-08-13 17:50:08.010665,car,0.7
2026-08-13 17:50:08.010665,car,0.68
2026-08-13 17:50:08.010665,car,0.67
2026-08-13 17:50:08.010665,car,0.67
2026-08-13 17:50:08.010665,bus,0.66
2026-08-13 17:50:08.010665,car,0.6
2026-08-13 17:50:08.010665,bus,0.57
2026-08-13 17:50:08.010665,car,0.57
2026-08-13 17:50:08.010665,car,0.53
2026-08-13 17:50:08.011704,car,0.53
2026-08-13 17:50:08.011704,car,0.5
2026-08-13 17:50:08.011704,car,0.42
2026-08-13 17:50:08.011704,car,0.41
2026-08-13 17:50:08.011704,car,0.4
2026-08-13 17:50:08.011704,car,0.36
2026-08-13 17:50:08.011704,car,0.33
2026-08-13 17:50:08.011704,car,0.33
2026-08-13 17:50:08.011704,bus,0.28
2026-08-13 17:50:08.011704,car,0.25
2026-08-13 17:50:08.125666,car,0.75
2026-08-13 17:50:08.125666,bus,0.74
2026-08-13 17:50:08.127687,car,0.71
2026-08-13 17:50:08.127687,car,0.7
2026-08-13 17:50:08.127687,car,0.66
2026-08-13 17:50:08.127687,car,0.59
2026-08-13 17:50:08.127687,car,0.59
2026-08-13 17:50:08.127687,bus,0.58
2026-08-13 17:50:08.127687,car,0.57
2026-08-13 17:50:08.128692,car,0.54
2026-08-13 17:50:08.128692,car,0.54
2026-08-13 17:50:08.128692,car,0.52
2026-08-13 17:50:08.128692,car,0.49
2026-08-13 17:50:08.128692,car,0.4
2026-08-13 17:50:08.128692,car,0.38
2026-08-13 17:50:08.128692,car,0.37
2026-08-13 17:50:08.128692,car,0.36
2026-08-13 17:50:08.128692,bus,0.35
2026-08-13 17:50:08.128692,car,0.3
2026-08-13 17:50:08.128692,car,0.27
2026-08-13 17:50:08.128692,truck,0.26
2026-08-13 17:50:08.245940,bus,0.78
2026-08-13 17:50:08.245940,car,0.73
2026-08-13 17:50:08.245940,car,0.7
2026-08-13 17:50:08.245940,car,0.69
